file_name,brand,product_folder,doc_type,success,product_name,cas_numbers,missing_count,provider,model,input_tokens,output_tokens,cache_read_tokens,duration_ms,error,warnings
BELSIL-CDM-3526-VP-TDS-en-2024.06.16.pdf,BELSIL,BELSIL® CDM 3526 VP,SDS,True,BELSIL® CDM 3526 VP,,19,google,gemini-2.5-flash,2206,1265,0,16504,,"The document was identified as an SDS by the prompt, but its content and structure resemble a Technical Data Sheet (TDS) or Product Information Sheet, lacking standard SDS sections (e.g., GHS, CAS, UN, Inventories). This has resulted in many SDS-specific fields being null.; Values from the 'Technical data' table (Appearance, Color, INCI name, Melting point) are explicitly stated as 'only intended as a guide and should not be used in preparing specifications', therefore 'is_specification' is set to false for these values."
BELSIL-DM-6101-E-TDS-en-2024.06.16.pdf,BELSIL,BELSIL® DM 6101 E,SDS,True,BELSIL® DM 6101 E,,17,google,gemini-2.5-flash,2256,1865,0,34194,,"The document provided is a Technical Data Sheet (TDS) or Product Information Sheet, not a Safety Data Sheet (SDS) as indicated in the prompt. Therefore, many SDS-specific fields (e.g., CAS Numbers, GHS Statements, UN Number, Density, Flash Point, Global Inventories, Certifications) could not be extracted as they are not present in this document type.; Grade classification 'Cosmetic' is inferred based on the product's brand (BELSIL for personal care) and stated applications (shampoos, conditioners, hair treatments).; The specific duration of 'shelf_life' is not provided in the document; it only states that the 'Best use before end' date is shown on the product label."
ELASTOSIL-LR-304040-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,Brochure,True,ELASTOSIL® LR 3040/40 A/B,,15,google,gemini-2.5-flash,3334,2009,0,23056,,
ELASTOSIL-LR-306530-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,Brochure,True,ELASTOSIL® LR 3065/30 A/B,,16,google,gemini-2.5-flash,3067,1879,0,16771,,"The document explicitly states 'These figures are only intended as a guide and should not be used in preparing specifications.' for all technical data tables. Therefore, values extracted from these tables are marked with confidence 'low' and 'is_specification: false'."
ELASTOSIL-LR-306550-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,Brochure,True,ELASTOSIL® LR 3065/50 A/B,,12,google,gemini-2.5-flash,3071,2114,0,15264,,"The product URL provided is a general Wacker website, not a direct product page.; Values from 'Technical data' tables (e.g., Density) are explicitly stated as guides and not for specifications, hence confidence is 'medium' and is_specification is 'false'."
ELASTOSIL-LR-306640-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3066:40 A:B,Brochure,True,ELASTOSIL® LR 3066/40 A/B,,14,google,gemini-2.5-flash,3074,2288,0,21392,,"The document explicitly states that 'These figures are only intended as a guide and should not be used in preparing specifications.' for all technical data, therefore is_specification is set to false for all values from the 'Technical data' tables."
ELASTOSIL-LR-367530-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3675:30 A:B,Brochure,True,ELASTOSIL® LR 3675/30 A/B,,19,google,gemini-2.5-flash,3160,2014,0,23454,,"{'attribute': 'density', 'warning': ""Value is from a 'Technical data' table explicitly stated as 'only intended as a guide and should not be used in preparing specifications'. Confidence set to 'medium' and 'is_specification' to 'false'.""}; {'attribute': 'cure_system', 'warning': ""Cure system inferred from 'platinum catalyst' mention, typical for ELASTOSIL LR products. Confidence set to 'low'.""}"
ELASTOSIL-4100-TDS-en-2025.07.22.pdf,ELASTOSIL,Elastosil 4100,Brochure,True,ELASTOSIL® 4100,,14,google,gemini-2.5-flash,3989,3595,0,37948,,"The document explicitly states that 'These figures are only intended as a guide and should not be used in preparing specifications.' for the technical data table. Therefore, values like Density are extracted with `is_specification: false` and `confidence: medium`.; Product URL provided is for the general Wacker website, not a specific product page.; No explicit GHS H/P statements found, only general safety advice regarding acetic acid release and contact with eyes/mucous membranes."
ELASTOSIL-4300-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 4300,Brochure,True,ELASTOSIL® 4300,,14,google,gemini-2.5-flash,3468,2155,0,18720,,
ELASTOSIL-4710-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 4710,Brochure,True,ELASTOSIL® 4710,,13,google,gemini-2.5-flash,3705,3315,0,30519,,"Technical data values are explicitly stated as 'only intended as a guide and should not be used in preparing specifications', therefore `is_specification` is set to `false` and confidence to `medium` for these values.; Product URL is a general Wacker website, not specific to the product.; Shelf life is described qualitatively as 'long shelf life' without a specific duration.; GHS statements are descriptive safety notes, not formal H/P codes."
